epoch,train_loss,train_focal,train_huber,val_loss,val_focal,val_huber,val_auroc,val_f1,val_precision,val_recall,val_mae_delayed,val_rmse_delayed,lr
1,19.09247703552246,0.15642466755075887,18.93605233105746,18.380472898483276,0.08263476782788833,18.29783817132314,0.5360470600004287,0.23728813559322035,0.5614973262032086,0.1504297994269341,18.895599365234375,21.478981018066406,0.001
2,14.891429432955656,0.0929642839865251,14.798465165224941,12.913209637006124,0.08057506599773963,12.832634568214417,0.5616572822956934,0.19427148194271482,0.7428571428571429,0.11174785100286533,13.408208847045898,16.285436630249023,0.0009757729755661011
3,9.157609519091519,0.0837524023923007,9.073857099359685,7.95635199546814,0.07104831902931134,7.885303695996602,0.6342274685778391,0.2064676616915423,0.7830188679245284,0.11891117478510028,8.396121978759766,11.387395858764648,0.000905463412215599
4,6.250489980524237,0.07762674577534198,6.172863240675492,5.911085844039917,0.06755380906785528,5.843532005945842,0.6805112933997386,0.2144638403990025,0.8269230769230769,0.12320916905444126,6.319818496704102,9.179123878479004,0.0007959536998847742
5,5.510003950379112,0.07361567355692386,5.4363882758400655,5.488231976826985,0.06616612228875358,5.422065854072571,0.6925790823800098,0.2384428223844282,0.7903225806451613,0.14040114613180515,5.903078079223633,8.569043159484863,0.000657963412215599
6,5.397022819519043,0.0717750701375983,5.325247747247869,5.5199103355407715,0.06624266551807523,5.453667680422465,0.693484769451729,0.18089171974522292,0.8160919540229885,0.1017191977077364,5.943282604217529,8.69093132019043,0.000505
7,5.3506486329165375,0.07050636603750966,5.2801422812721945,5.4593576192855835,0.06605766310046117,5.393299986918767,0.6928711530629015,0.18757921419518378,0.8131868131868132,0.10601719197707736,5.880934238433838,8.588725090026855,0.0003520365877844011
8,5.309884151545438,0.06995203745636074,5.239932103590532,5.428175856669744,0.06565958975503842,5.362516224384308,0.697691659104388,0.19874213836477989,0.8144329896907216,0.11318051575931232,5.852437496185303,8.51828670501709,0.00021404630011522585
9,5.317881575497714,0.06966590065170418,5.2482156580144705,5.440260211626689,0.06578192735711734,5.374478330214818,0.6967270219865809,0.18527918781725888,0.8111111111111111,0.10458452722063037,5.864851951599121,8.54949951171875,0.00010453658778440107
10,5.285034842924638,0.06914298531006682,5.215891853245822,5.431338608264923,0.06571827502921224,5.365620334943135,0.695053197950682,0.1850443599493029,0.8021978021978022,0.10458452722063037,5.856895446777344,8.530985832214355,3.4227024433899005e-05
11,5.196317302096974,0.06907791911878369,5.127239359508861,5.3606505791346235,0.06497204039866726,5.295678555965424,0.7041154277629708,0.2107904642409034,0.8484848484848485,0.12034383954154727,5.789683818817139,8.396636009216309,0.001
12,5.204019535671581,0.06807000911371275,5.135949527133595,5.37801268696785,0.06447382395466168,5.313538859287898,0.7102462325561455,0.2222222222222222,0.8035714285714286,0.12893982808022922,5.807266712188721,8.423343658447266,0.0009939057285945933
13,5.191596564379606,0.06684994318268515,5.124746626073664,5.390944381554921,0.06432017839203279,5.326624194780986,0.7129722255964672,0.22441430332922319,0.8053097345132744,0.1303724928366762,5.816442966461182,8.458283424377441,0.0009757729755661011
14,5.183078993450511,0.06664303148334677,5.1164359656247225,5.403461704651515,0.06425906857475638,5.339202632506688,0.7153373729001279,0.19899244332493704,0.8229166666666666,0.11318051575931232,5.830676555633545,8.518054962158203,0.0009460482294732421
15,5.095856794443997,0.06602794406088916,5.0298288367011335,5.372332563002904,0.06440712061400215,5.307925442854564,0.7160590643734503,0.16020671834625322,0.8157894736842105,0.08882521489971347,5.803519248962402,8.403270721435547,0.000905463412215599
